Channel Id,Channel Url,Channel Title
UC-1SXRzMQS9oikFgcG_w9RQ,http://www.youtube.com/channel/UC-1SXRzMQS9oikFgcG_w9RQ,Junkyard Mook
UC-4NAdFIP6h9BmtGUFL94Pg,http://www.youtube.com/channel/UC-4NAdFIP6h9BmtGUFL94Pg,Carly Rae Jepsen
UC-69ubRH9FiX2f-8LVY6C5Q,http://www.youtube.com/channel/UC-69ubRH9FiX2f-8LVY6C5Q,David Erick Ramos - Ocarina
UC-7I1gU1r6PxBSl87o-7YEQ,http://www.youtube.com/channel/UC-7I1gU1r6PxBSl87o-7YEQ,Druaga1
UC-AQKm7HUNMmxjdS371MSwg,http://www.youtube.com/channel/UC-AQKm7HUNMmxjdS371MSwg,Channel 5 with Andrew Callaghan
UC-SV8-bUJfXjrRMnp7F8Wzw,http://www.youtube.com/channel/UC-SV8-bUJfXjrRMnp7F8Wzw,Roman Atwood Vlogs
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-nL_2TP09QuovUwqg6CUOQ,http://www.youtube.com/channel/UC-nL_2TP09QuovUwqg6CUOQ,BeaPlays Minecraft
UC-oleeXG4SNe7yv91Q7s64g,http://www.youtube.com/channel/UC-oleeXG4SNe7yv91Q7s64g,Lydia
UC-tsNNJ3yIW98MtPH6PWFAQ,http://www.youtube.com/channel/UC-tsNNJ3yIW98MtPH6PWFAQ,iDubbbzTV2
UC-zD0q7ryv_OWPB_xEwJJIQ,http://www.youtube.com/channel/UC-zD0q7ryv_OWPB_xEwJJIQ,Blind Surfer Pete Gustin
UC00uG71I6iPyx15EX6i_GDA,http://www.youtube.com/channel/UC00uG71I6iPyx15EX6i_GDA,Star Wars Comics
UC06E4Y_-ybJgBUMtXx8uNNw,http://www.youtube.com/channel/UC06E4Y_-ybJgBUMtXx8uNNw,TheBackyardScientist
UC06fO6LNH_AUgjbmqaZRV5Q,http://www.youtube.com/channel/UC06fO6LNH_AUgjbmqaZRV5Q,The Samurai Carpenter
UC0AE_22J0kAo30yjasaeFqw,http://www.youtube.com/channel/UC0AE_22J0kAo30yjasaeFqw,Element Animation
